Basket Source,Basket Title,Course Code,Course Title,Course Type,Credits,Compulsory Course
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2001,Introduction to Internet of Things,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2003,Introduction to Machine Learning,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2018,Co-ordination Chemistry (Chemistry of Transition Elements),OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2037,Getting Started with Competitive Programming,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2040,Cyber Security and Privacy,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2041,Design & Implementation of Human-Computer Interfaces,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2042,Ethical Hacking,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2043,Responsible & Safe AI Systems,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2044,Secure Computation: Part II,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2045,Statistical Learning for Reliability Analysis,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2046,Google Cloud Computing Foundations,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2047,Big Data Computing,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2048,Data Science for Engineers,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2049,Introduction to Quantum Computing: Quantum Algorithms and Qiskit,OC,1,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2050,Artificial Intelligence: Knowledge Representation And Reasoning,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2051,Business Analytics and Data Mining Modeling using R,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL2052,Business Analytics For Management Decision,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3020,Privacy and Security in Online Social Media,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3021,Affective Computing,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3022,Advanced R Programming for Data Analytics in Business,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3023,Advanced Distributed Systems,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3024,Artificial Intelligence : Search Methods For Problem solving,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3025,Getting Started with Competitive Programming,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3026,Distributed Optimization and Machine Learning,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3027,Introduction to Industry 4.0 and Industrial Internet of Things,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3028,Practical Cyber Security for Cyber Security Practitioners,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3029,Demystifying Networking,OC,1,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3030,Software Conceptual Design,OC,1,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3032,Deep Learning,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3033,Foundation of Cloud IoT Edge ML,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3034,Machine Learning,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3035,Machine Learning for Engineering and Science Applications,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3036,Gamification as a Business Strategy,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3039,GPU Architectures and Programming,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL3041,Artificial Intelligence and Machine Learning in Materials Engineering,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4008,Applied Accelerated Artificial Intelligence,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4009,Deep Learning for Computer Vision,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4010,Artificial Intelligence for Economics,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4011,AI:Constraint Satisfaction,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4012,Deep Learning for Natural Language Processing,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4013,Reinforcement Learning,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4014,Blockchain and its Applications,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4015,Design and Engineering of Computer Systems,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4016,Cloud Computing,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4017,Integration of Artificial Intelligence in Educational Practices,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4018,Cryptography and Network Security,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4019,Artificial Intelligence: Search Methods For Problem solving,OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4020,User-Centric Computing for Human-Computer Interaction,OC,2,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,ONL4021,Introduction to Large Language Models (LLMs),OC,3,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,SWE2004,Software Design and Architecture,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,SWE3002,Software Project Management,ETP,4,
Programme Elective Basket,Programme Elective Basket of BTech CSE - 2021,TEC4001,Technical Writing and Presentation,PJT,1,
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE1005,Software Engineering,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE1008,Theory of Computation,TH,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE2007,Database Management Systems,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE2008,Operating Systems,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE3003,Computer Networks,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,CSE3004,Design and Analysis of Algorithms,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,ECE1003,Digital Logic Design,ETL,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,ECE2002,Computer Organization and Architecture,TH,4,Compulsory
Programme Core Basket,Programme Core Basket of B.Tech. CSE Batch 2021,MAT1003,Discrete Mathematical Structures,TH,4,Compulsory
University Core Basket,Clubs Basket for B.Tech 2021,EXC1001,Toast Masters Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1002,Dhwani - Theatre and Fine Arts Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1003,LIVIT - Health and Wellness Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1004,Music Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1005,Sports Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1006,Uddeshya VIT-AP,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1007,Quiz Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1008,The Gardening Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1009,MTT IEEE chapter,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1010,Comedy Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1011,Kannada Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1012,Do It Yourself (DIY) Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1013,IET Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1014,BIOSCOPE - Movie Making and Screening Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1015,Social Entrepreneurship Empowerment and Development Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1016,Beat the Heat - Dance Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1017,Run 4 a Cause Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1018,Adventure Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1019,Click n Flick Photography Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1020,Culinary Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1021,National Service Scheme (NSS) VIT-AP,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1022,Indian Classical Music Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1023,Western Music Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1024,News Paper club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1025,Sanskriti Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1026,YouTuber Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1027,Open Community RUDRA,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1028,Clean Campus Club - Swacch VIT-AP,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1029,KNIT Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1030,SPIC MACAY Heritage Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1031,Telugu Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1032,Tamil Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1033,Hindi Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1034,Malayalam Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1035,Odia Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1036,Bengali Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1037,English Literary Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1038,Book Club - Inculcate Art of Reading,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1039,Innovators Quest Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1040,Kalki - Personal Development Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1041,"Mélange - Inspire, Attract and Trend Club",ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1042,MUN Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1043,Nutrition Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1044,Youth Empowerment and Skills Slub - (YES+!),ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1045,Think and Thrive Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1046,VITonomics Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1047,Around the World Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1048,Intelligent and Intuitive AI Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1049,Torque,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1050,Leo Club VITAP,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1051,Madhya Bharat Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1052,MANSI: The Voice of Heart,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1053,Dragon Fist Martial Arts Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1054,American Chemical Society Students Chapter,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1055,Data Science Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1056,Uniquest,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1057,Nrityam,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1058,Women Innovators Network,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC1059,Entrepreneurship Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2002,CSI - Computer Society of India,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2003,IEEE Student Branch VIT-AP,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2004,Developer Student Clubs by Google,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2005,Open Source Community,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2006,Android Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2007,Academic and Industrial Nano Society,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2008,Robotics club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2009,Null Chapter - Security and Hacking,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2010,Drushya - Animation and Gaming Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2011,Bulls and Bears,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2012,Be a Nerd - BaN Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2013,Math Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2014,Nextgen Cloud Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2015,Marathi Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2016,Electronics Hobby Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2017,Spirit of R-Energy Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2018,ACM Chapter,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2019,Students for the Exploration and Development of Space (SEDS),NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2020,Live Innovate and Transform - Data Analytics Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2021,Teach Your Machine Club - Machine Learning ( TYMC),NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2022,Fly Your Ideas (FYI) - Drone Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2023,The Node: A Blockchain Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2024,SPARK - The Electric Vehicle Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2025,Creation Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2026,Photon Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2027,IoT Revolution Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2028,Graphics Processing Unit Users Group (GPUG),NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2029,CodeChef Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2030,Microsoft Student Chapter,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2031,OASIS VFX and CGI Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2032,Harmony OS Students Fan Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2033,SPICMACAY,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2034,Renewable Energy Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2035,Kuge Gamu Clan Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2036,WiOS-Women in Open Source,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2037,Pennify VIT-AP Chapter,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2038,Otaku Haven Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2039,Climate Change Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2040,MATLAB Chapter,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2041,Rotaract Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2042,BizzDom Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2043,AI-Based Productivity Tools club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2044,IETE club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2047,The Constitution Club,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2048,Technopreneur,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2049,Geeks for Geeks VITAP Student Chapter,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2050,Reverse Class room,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2051,Electoral club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2052,Haryana Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2053,American Chemical Society Student Chapter,ECA,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2054,The Gamers Crib (TGC),NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2055,Chhattisgarh Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2056,Dhruva club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2057,Sheradil,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2058,Team Next Nexus,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2059,Hult Prize VIT-AP Chapter,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2060,MAD - MAke A Difference Club,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2062,Hallyu Club (Korean Wave Club),NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2063,Laetitia - Living Joyful,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2064,Bihar Association,NCC,2,
University Core Basket,Clubs Basket for B.Tech 2021,EXC2065,Society of Automobile Engg ( SAE) Club,NCC,2,
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,CSE1012,Problem Solving using Python,ETL,4,Compulsory
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,CSE2001,Data Structures and Algorithms,ETL,4,Compulsory
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,CSE2005,Object Oriented Programming,ETL,4,Compulsory
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,ECE1001,Fundamentals of Electrical Engineering,ETL,4,
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,ECE1002,Fundamentals of Electrical and Electronics Engineering,ETL,4,Compulsory
University Core Basket,Engineering Foundation Basket of BTech CSE & MEC 2021,MEC1002,Engineering Graphics,LO,2,
University Core Basket,Humanities and Management Basket of BTech 2021,ENG1001,English for Essential Communication,ETL,3,
University Core Basket,Humanities and Management Basket of BTech 2021,ENG1002,English for Effective Communication,ETL,3,Compulsory
University Core Basket,Humanities and Management Basket of BTech 2021,ENG2001,English for Professional Communication,ETL,3,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL1001,Basic French,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL1002,French for Beginners,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL1004,Basic Spanish,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL1005,German for Beginners,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL1006,Japanese for Beginners,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL2004,Korean for Beginners,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,FRL2005,German for Advanced Learners,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,INL1001,Functional Hindi for non-Hindi Speakers,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,INL1002,Introduction to Hindi Language and Literature,TH,2,
University Core Basket,Humanities and Management Basket of BTech 2021,MGT1001,Ethics and Values,LO,2,Compulsory
University Core Basket,Humanities and Management Basket of BTech 2021,MGT1040,Entrepreneurship,TH,2,Compulsory
University Core Basket,Humanities and Management Basket of BTech 2021,STS1002,Fundamentals of Aptitude,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS1004,Introduction to Problem Solving,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS1007,Arithmetic problem solving,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS1009,"Introduction to Quantitative, Logical and Verbal Ability",TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS2006,Getting Started to Skill Enhancement,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS2007,Enhancing Problem Solving Skills,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS2008,Numerical Ability and Cognitive Intelligence,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,STS2009,Arithmetic Problem Solving Skills,TH,3,
University Core Basket,Humanities and Management Basket of BTech 2021,TEC3001,Design Thinking,TH,3,Compulsory
University Core Basket,Basic Science Basket of Btech CSE 2021,CHY1009,Chemistry and Environmental Studies,ETL,4,Compulsory
University Core Basket,Basic Science Basket of Btech CSE 2021,MAT1001,Calculus for Engineers,ETL,4,Compulsory
University Core Basket,Basic Science Basket of Btech CSE 2021,MAT1002,Applications of Differential and Difference Equations,ETL,4,Compulsory
University Core Basket,Basic Science Basket of Btech CSE 2021,MAT1011,Applied Statistics,ETL,4,Compulsory
University Core Basket,Basic Science Basket of Btech CSE 2021,PHY1006,Physics of Materials,ETL,4,
University Core Basket,Basic Science Basket of Btech CSE 2021,PHY1007,Principles of Electronics,ETL,4,
University Core Basket,Basic Science Basket of Btech CSE 2021,PHY1008,Modern Physics,ETL,4,Compulsory
University Core Basket,Projects and Internships Basket,BIC4002,Internship/ Senior Design Project,PJT,12,Compulsory
University Core Basket,Projects and Internships Basket,CAP4001,Capstone,PJT,6,Compulsory
University Core Basket,Projects and Internships Basket,ECS1002,Engineering Clinics - Python and Raspberry Pi,PJT,2,Compulsory
University Core Basket,Projects and Internships Basket,ECS3001,Engineering Clinics - II,PJT,2,
University Core Basket,Projects and Internships Basket,MEC1002,Engineering Graphics,LO,2,
University Core Basket,Summer Internship Basket,INC1001,Juniper Networks - Introduction to the Junos Operating System,PJT,2,
University Core Basket,Summer Internship Basket,INC1002,Juniper Networks - Introduction to Juniper Security,PJT,2,
University Core Basket,Summer Internship Basket,INC1003,Juniper Networks - Introduction to Junos Platform Automation and DevOps,PJT,2,
University Core Basket,Summer Internship Basket,INC1004,Juniper Networks - Juniper Cloud Fundamentals,PJT,2,
University Core Basket,Summer Internship Basket,INC1005,Juniper Networks - Juniper Networks Design Fundamentals,PJT,2,
University Core Basket,Summer Internship Basket,INC1006,Juniper Networks - Juniper's Mist AI Networks,PJT,2,
University Core Basket,Summer Internship Basket,INC1007,Entuple - Synthesis and Static Timing Analysis,PJT,2,
University Core Basket,Summer Internship Basket,INC1008,Entuple - Physical Design,PJT,2,
University Core Basket,Summer Internship Basket,INC1009,GoDaddy Academy - Web Development,PJT,2,
University Core Basket,Summer Internship Basket,INC1010,Smart Bridge - Internet of Things,PJT,2,
University Core Basket,Summer Internship Basket,INC1011,Pharma Genie - Life Sciences Sector Skill Development Council,PJT,2,
University Core Basket,Summer Internship Basket,INC1012,Smart Bridge - Artificial Intelligence,PJT,2,
University Core Basket,Summer Internship Basket,INC1013,Microsoft - Azure Fundamentals,PJT,2,
University Core Basket,Summer Internship Basket,INC1014,Smart Bridge - Data Analytics,PJT,2,
University Core Basket,Summer Internship Basket,INC1015,Smart Bridge - Applied Data Science,PJT,2,
University Core Basket,Summer Internship Basket,INC1016,RH124 Red Hat System Administration,PJT,2,
University Core Basket,Summer Internship Basket,INC1017,RH134 Red Hat System Administration II,PJT,2,
University Core Basket,Summer Internship Basket,INC1018,RH294 Red Hat Enterprise Linux Automation with Ansible,PJT,2,
University Core Basket,Summer Internship Basket,INC1019,AD183 Red Hat Application Development I: Programming in Java EE,PJT,2,
University Core Basket,Summer Internship Basket,INC1020,CL110 Red Hat OpenStack Administration I: Core Operations for Domain Operators,PJT,2,
University Core Basket,Summer Internship Basket,INC1021,ISRO Space Science and Technology Awareness Training (START),PJT,2,
University Core Basket,Summer Internship Basket,INC1022,AWS Certified Solutions Architect - Associate,PJT,2,
University Core Basket,Summer Internship Basket,INC1023,Microsoft Power Platform App Maker (PL-100),PJT,2,
University Core Basket,Summer Internship Basket,INC1024,Microsoft - Azure Administrator (AZ-104),PJT,2,
University Core Basket,Summer Internship Basket,INC1025,Certificated Ethical Hacker (CEH),PJT,2,
University Core Basket,Summer Internship Basket,INC1026,MERN Full StackQ,PJT,2,
University Core Basket,Summer Internship Basket,INC1027,Cloud Digital Leader,PJT,2,
University Core Basket,Summer Internship Basket,INC1028,Certificate in Mechanical Services Engineering,PJT,2,
University Core Basket,Summer Internship Basket,INC1029,VLSI Design Internship,PJT,2,
University Core Basket,Summer Internship Basket,INC1030,Java Development on Oracle Cloud (Java SE11),PJT,2,
University Core Basket,Summer Internship Basket,INC1031,Certificate in Concrete Techniques and Practices,PJT,2,
University Core Basket,Summer Internship Basket,INC1032,Practitioners Approach to Power System Protection and Switchgear,PJT,2,
University Core Basket,Summer Internship Basket,INC1033,Certificate in Microcontroller and Application,PJT,2,
University Core Basket,Summer Internship Basket,INC1034,Database Developer on Oracle Cloud,PJT,2,
University Core Basket,Summer Internship Basket,INC1035,Application Development on Oracle Cloud,PJT,2,
University Core Basket,Summer Internship Basket,INC1036,Life Sciences - Quality Control Chemist,PJT,2,
University Core Basket,Summer Internship Basket,INC1037,Introduction to 3D Printing & CAD Modeling,PJT,2,
University Core Basket,Summer Internship Basket,INC1038,JAVA Full stack,PJT,2,
University Core Basket,Summer Internship Basket,INC1039,Certificate In Mechanized Construction Techniques,PJT,2,
University Core Basket,Summer Internship Basket,INC1040,Certificate In Transportation Infrastructure Engineering,PJT,2,
University Core Basket,Summer Internship Basket,INC1041,Electrical Design for Modern Building Infrastructure,PJT,2,
University Core Basket,Summer Internship Basket,INC1042,Foundation Course- VLSI Design Methodologies,PJT,2,
University Core Basket,Summer Internship Basket,INC1043,Oracle Java Foundation Associate,PJT,2,
University Core Basket,Summer Internship Basket,INC1044,Android App Development,PJT,2,
University Core Basket,Summer Internship Basket,INC1045,Automation Anywhere University Certified Essentials RPA Professional,PJT,2,
University Core Basket,Summer Internship Basket,INC1046,Google Cloud Computing Foundations,PJT,2,
University Core Basket,Summer Internship Basket,INC1047,Hands-On Training Analytical Drug Testing- Greentree Laboratories,PJT,2,
University Core Basket,Summer Internship Basket,INC1048,Salesforce Administrator,PJT,2,
University Core Basket,Summer Internship Basket,INC1049,Artificial Intelligence & Machine Learning in collaboration with Google (Applied Data Science),PJT,2,
University Core Basket,Summer Internship Basket,INC1050,Data Analytics with IBM Cognos Analytics,PJT,2,
University Core Basket,Summer Internship Basket,INC1051,AI for Cyber Security With IBM Qrador (AI for Web Security),PJT,2,
University Core Basket,Summer Internship Basket,INC1052,IOT - Vision Technologies,PJT,2,
University Core Basket,Summer Internship Basket,INC1053,Foundation Course - Embedded System Design,PJT,2,
